2021/06/04 00:28:18 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 不存在该插件","time":1622737698027811100}
2021/06/04 00:29:05 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 不存在该插件","time":1622737745261439700}
2021/06/04 00:29:42 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 不存在该插件","time":1622737782173714000}
2021/06/04 00:30:55 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateChip err: 芯片已存在","time":1622737855660517400}
2021/06/04 00:31:20 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateChip err: 芯片已存在","time":1622737880554822900}
2021/06/04 00:31:52 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 不存在该插件","time":1622737912795034400}
2021/06/04 00:31:59 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 不存在该插件","time":1622737919272037000}
2021/06/04 00:33:32 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateChip err: 芯片已存在","time":1622738012314205500}
2021/06/04 00:34:01 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: Error 1054: Unknown column 'plugin_name' in 'where clause'","time":1622738041733056100}
2021/06/04 00:35:38 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: Error 1054: Unknown column 'plugin_name' in 'where clause'","time":1622738138259345100}
2021/06/04 00:35:45 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: Error 1054: Unknown column 'plugin_name' in 'where clause'","time":1622738145509340800}
2021/06/04 00:37:53 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 不存在该插件","time":1622738273474866500}
2021/06/04 00:39:13 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"app.BindAndValid errs: PluginName为必填字段","time":1622738353426216100}
2021/06/04 00:39:21 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 不存在该插件","time":1622738361188360900}
2021/06/04 00:39:23 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 不存在该插件","time":1622738363825328000}
2021/06/04 00:39:25 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 不存在该插件","time":1622738365129070800}
2021/06/04 00:40:28 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 不存在该插件","time":1622738428652120500}
2021/06/04 00:40:33 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 不存在该插件","time":1622738433954987100}
2021/06/04 00:42:02 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 模块已存在","time":1622738522378541000}
2021/06/04 00:43:28 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 模块已存在","time":1622738608956049300}
2021/06/04 00:49:00 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 不存在该插件","time":1622738940879252100}
2021/06/04 00:51:29 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 不存在该插件","time":1622739089667373300}
2021/06/04 00:51:37 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 不存在该插件","time":1622739097255872100}
2021/06/04 00:52:04 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 不存在该插件","time":1622739124464150100}
2021/06/04 00:56:53 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 不存在该插件","time":1622739413528663100}
2021/06/04 00:57:33 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 不存在该插件","time":1622739453267198100}
2021/06/04 00:59:15 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 不存在该插件","time":1622739555438866500}
2021/06/04 01:01:40 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 模块已存在","time":1622739700773871000}
2021/06/04 01:01:45 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 不存在该插件","time":1622739705704386200}
2021/06/04 01:02:10 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 模块已存在","time":1622739730977708600}
2021/06/04 01:02:51 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"app.BindAndValid errs: PluginName为必填字段","time":1622739771886387400}
2021/06/04 01:04:06 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.UpdateModule err: 不存在该插件","time":1622739846165949200}
2021/06/04 15:34:05 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateOverload err: 不存在该模块","time":1622792045710796700}
2021/06/04 19:48:25 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateChip err: 芯片已存在","time":1622807305281929700}
2021/06/04 19:48:39 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateChip err: Error 1364: Field 'id' doesn't have a default value","time":1622807319197576000}
2021/06/04 19:48:58 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateChip err: Error 1364: Field 'id' doesn't have a default value","time":1622807338751070200}
2021/06/07 19:42:16 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"app.BindAndValid errs: FileMaskCode为必填字段,PluginName为必填字段,PluginIntroduction为必填字段","time":1623066136071709100}
2021/06/07 21:08:06 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"app.BindAndValid errs: PluginName为必填字段,PluginIntroduction为必填字段,FileMaskCode为必填字段","time":1623071286361781000}
2021/06/07 21:08:39 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"app.BindAndValid errs: PluginName为必填字段,PluginIntroduction为必填字段,FileMaskCode为必填字段","time":1623071319444497200}
2021/06/07 21:09:38 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"app.BindAndValid errs: PluginName为必填字段,PluginIntroduction为必填字段,FileMaskCode为必填字段","time":1623071378290505800}
2021/06/07 21:22:42 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreatePA err: 插件名已存在","time":1623072162152521100}
2021/06/07 21:22:56 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreatePA err: 插件名已存在","time":1623072176453733400}
2021/06/07 21:27:50 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.UpdatePA err: 插件名已存在","time":1623072470298575100}
2021/06/07 22:26:42 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreatePA err: 插件名已存在","time":1623076002562368600}
2021/06/07 22:28:45 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.UpdatePA err: 插件名已存在","time":1623076125737848700}
2021/06/09 11:40:33 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"app.BindAndValid errs: SecurityCode为必填字段","time":1623210033533206500}
2021/06/09 11:40:44 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateUser err: 用户已存在","time":1623210044363958600}
2021/06/09 11:40:55 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateUser err: 用户已存在","time":1623210055064955100}
2021/06/09 11:41:09 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateUser err: 用户已存在","time":1623210069029833500}
2021/06/09 11:41:12 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateUser err: 用户已存在","time":1623210072129212300}
2021/06/09 14:03:55 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateUser err: 用户已存在","time":1623218635493508200}
2021/06/09 14:04:03 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateUser err: 用户已存在","time":1623218643371814600}
2021/06/09 14:04:16 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateUser err: 用户已存在","time":1623218656590250700}
2021/06/09 14:08:36 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateChip err: 芯片已存在","time":1623218916885531100}
2021/06/09 14:11:03 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateChip err: 芯片已存在","time":1623219063668068000}
